Group,Index,Label
Group 1,2,cancer
Group 1,12,cancer
Group 1,38,neuro
Group 1,55,smoking
Group 1,23,kidney
Group 1,24,kidney
Group 1,32,neuro
Group 1,15,kidney
Group 2,45,neuro
Group 2,16,kidney
Group 2,30,neuro
